Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,299.93997190030194,305.64658669407316,297.7273678774761,302.06251387503164,301.2773276750804,9411603
2020-01-02,302.89942414167564,303.3146438746106,298.8841809540643,299.0176960829644,296.5377042833628,2653005
2020-01-03,304.23674841135323,304.0580018674392,301.489573280067,301.73160420205414,302.2798861337738,7243383
2020-01-06,306.05637221152733,308.62391297136764,303.11500646566896,306.5791870868401,302.08371021265566,11100963
2020-01-07,306.30768598196073,309.69566479852597,303.18955101546555,305.34560142747245,307.6863002208784,1441168
2020-01-08,305.5821564744873,306.169735679878,301.174712950545,303.76640555939593,307.3509893262485,10077805
2020-01-09,308.35281433652517,311.283531086403,304.7541748378302,308.7599939377395,304.6022868154807,6947117
2020-01-10,307.8284429066287,312.95707190908945,307.47437914178414,309.8846146952974,304.97992323666,9888079
2020-01-13,308.5951595170138,312.57511074767194,307.2955856526557,309.9610765846287,305.5660204811162,7074999
2020-01-14,310.66036744264477,311.05327681704784,305.01506038627497,310.90132297873447,315.59130129577403,5949331
2020-01-15,309.8445133038849,312.8555991894196,306.5913795529677,309.5748185364951,309.9238859602112,6280156
2020-01-16,307.7954178148992,312.8935736842051,304.7056932801986,308.2556380424529,307.85195873986964,11802519
2020-01-17,310.65361983097387,310.19542587425786,307.7543635302391,307.4195803870118,302.5834008853028,9399122
2020-01-20,303.82971952397327,306.7292363571836,302.47513774655886,304.20562346656766,306.02545459771454,3144608
2020-01-21,301.81189351486233,306.6817336531875,301.1865404905875,301.48685362166844,305.9247351854488,11492993
2020-01-22,301.54941657772144,302.1002769587109,298.0113326409211,301.1830778195437,305.13683902833253,6506126
2020-01-23,299.64876165441655,303.2049513510124,294.02214009881965,298.91504985171053,300.42223583647205,3930299
2020-01-24,300.1832689231151,302.303963450056,297.3597828876037,298.74145119987793,293.6661770981598,8818441
2020-01-27,296.9738177988049,299.48520477981174,297.19718288841034,295.8985223761563,291.3108764990674,6091281
2020-01-28,293.77288381707336,299.56643209805316,294.5087564831898,295.1330144299301,289.8124625414998,1628373
2020-01-29,298.7231163874768,300.6832287276819,295.933414660409,297.32185903441894,294.4375898261412,1633389
2020-01-30,298.2250109437546,300.6444805718805,296.60769026511247,298.766235682039,294.4121536032226,9379482
2020-01-31,296.7802829297297,300.1794090508717,297.4577744550959,296.1586439496547,293.3160900691786,2157260
2020-02-03,296.1339190984281,298.48164134760304,291.41040125337,295.652673761369,294.2933580352082,10764128
2020-02-04,294.14528503403005,295.56045449372806,291.76124352712696,296.09049401711974,301.3370136721878,8862148
2020-02-05,295.3174846129278,296.90630916144806,292.84484077263824,293.34407931496116,294.6392058603641,7232474
2020-02-06,293.7939234107512,297.3068105421794,287.89408076809644,292.33105305467296,296.2479826352494,4355000
2020-02-07,291.9747648426696,294.957451575517,292.27322580745954,291.6615390956305,294.11559679358385,4581311
2020-02-10,290.2711532205117,295.6498887389601,287.3929390182254,292.69730139756973,288.1605298777753,7158157
2020-02-11,292.82759659452086,293.67454153794887,289.79833602073967,291.9133129713226,294.6680452682091,4783831
2020-02-12,291.0465627250894,294.58840209006866,286.1099564990899,290.2372351213303,287.6262479696513,6182190
2020-02-13,295.21088767198535,295.5012608667294,291.1990864493393,294.4978374793918,296.13651588404605,11349936
2020-02-14,295.8379548439755,299.34952964687443,290.26515182518426,296.071633577897,294.188167647316,2350093
2020-02-17,293.6811568254072,295.0119660223355,287.5418538516621,291.25509029535345,297.0530734943391,8645195
2020-02-18,296.05868349803086,295.7772299953746,292.4171784401312,292.3052609571369,289.540655097592,9582299
2020-02-19,292.01705592578196,292.70405097335856,287.0482059260393,293.31997514916986,290.72855735622187,5475687
